g_x,g_y
33858.84,3387254.97
33859.24,3387255.29
33859.64,3387255.61
33860.05,3387255.95
33860.45,3387256.26
33860.85,3387256.57
33861.24,3387256.89
33861.63,3387257.21
33862.02,3387257.53
33862.42,3387257.85
33862.83,3387258.17
33863.22,3387258.49
33863.62,3387258.82
33864.02,3387259.13
33864.44,3387259.46
33864.85,3387259.8
33865.25,3387260.11
33865.65,3387260.43
33866.04,3387260.75
33866.43,3387261.07
33866.82,3387261.39
33867.22,3387261.7
33867.61,3387262.02
33868.01,3387262.35
33868.41,3387262.67
33868.8,3387262.99
33869.2,3387263.31
33869.59,3387263.63
33869.99,3387263.95
33870.38,3387264.28
33870.78,3387264.6
33871.17,3387264.92
33871.57,3387265.24
33871.96,3387265.56
33872.33,3387265.9
33872.71,3387266.24
33873.07,3387266.61
33873.42,3387266.97
33873.75,3387267.35
33874.07,3387267.75
33874.37,3387268.16
33874.65,3387268.59
33874.92,3387269.02
33875.19,3387269.45
33875.45,3387269.89
33875.7,3387270.33
33875.94,3387270.77
33876.15,3387271.23
33876.35,3387271.71
33876.53,3387272.21
33876.67,3387272.72
33876.74,3387273.22
33876.78,3387273.73
33876.78,3387274.24
33876.72,3387274.75
33876.63,3387275.25
33876.53,3387275.75
33876.41,3387276.24
33876.28,3387276.73
33876.11,3387277.22
33875.91,3387277.69
33875.68,3387278.15
33875.41,3387278.58
33875.12,3387278.99
33874.83,3387279.41
33874.52,3387279.82
33874.22,3387280.23
33873.9,3387280.62
33873.58,3387281.02
33873.27,3387281.43
33872.96,3387281.83
33872.65,3387282.25
33872.34,3387282.65
33872.03,3387283.05
33871.71,3387283.44
33871.4,3387283.84
33871.09,3387284.24
33870.78,3387284.64
33870.47,3387285.04
33870.15,3387285.43
33869.84,3387285.83
33869.52,3387286.25
33869.19,3387286.67
33868.87,3387287.07
33868.55,3387287.48
33868.22,3387287.9
33867.89,3387288.32
33867.57,3387288.74
33867.25,3387289.15
33866.93,3387289.55
33866.62,3387289.95
33866.29,3387290.36
33865.96,3387290.76
33865.64,3387291.16
33865.32,3387291.57
33864.99,3387291.97
33864.67,3387292.37
33864.35,3387292.77
33864.03,3387293.16
33863.71,3387293.56
33863.38,3387293.96
33863.06,3387294.37
33862.74,3387294.77
33862.41,3387295.15
33862.09,3387295.54
33861.77,3387295.95
33861.44,3387296.34
33861.12,3387296.74
33860.8,3387297.13
33860.48,3387297.53
33860.16,3387297.92
33859.83,3387298.32
33859.5,3387298.72
33859.17,3387299.14
33858.83,3387299.54
33858.51,3387299.93
33858.19,3387300.32
33857.87,3387300.72
33857.54,3387301.12
33857.21,3387301.51
33856.88,3387301.92
33856.56,3387302.31
33856.23,3387302.71
33855.9,3387303.09
33855.58,3387303.49
33855.25,3387303.88
